particle,row_type,theory,E,total,i4,i3,i2,i1,i0,i_minus_1,C,cts,di_over_2pi_percent,note
,delta,,,763,,,,,,,,65910,1.15764,∆ abs(i)
,max,973.825,973.822,3006121,1.0,-2.5,0.5,-2.5,-1.0,-1.5,0.5,,,
,mean,973.800(26),973.8,145,,,,,,,,,,
,min,973.774,973.777,3005977,1.0,-2.5,0.5,-2.5,-2.0,-3.0,1.0,,,
,delta,,,145,,,,,,,,10985,1.31998,∆ abs(i)
,max,973.825,973.818,3022890,1.0,-2.5,1.0,1.0,-2.0,-1.5,0.0,,,
,mean,973.800(26),973.796,1125,,,,,,,,,,
,min,973.774,973.775,3021766,1.0,-2.5,1.0,0.0,2.0,3.0,0.5,,,
,delta,,,1125,,,,,,,,10985,10.24124,∆ abs(i)
,max,973.825,973.825,3084825,1.0,-2.0,-2.5,-1.5,0.0,-2.5,0.0,,,
,mean,973.800(26),973.8,496,,,,,,,,,,
,min,973.774,973.775,3084330,1.0,-2.0,-2.5,-2.0,2.5,0.0,0.0,,,
,delta,,,496,,,,,,,,10985,4.51525,∆ abs(i)
,max,973.825,973.821,3102443,1.0,-2.0,-2.0,2.5,-1.0,-2.0,-1.0,,,
,mean,973.800(26),973.798,1594,,,,,,,,,,
,min,973.774,973.775,3100850,1.0,-2.0,-2.0,1.5,-0.5,1.0,0.0,,,
,delta,,,1594,,,,,,,,10985,14.5107,∆ abs(i)
,total,,,6036,,,,,,,,142805,4.22674,Σ ∆i
KS$^0$,particle,,,,,,,,,,,,,
,max,973.825,973.818,2028847,0.5,0.5,1.5,-2.5,2.0,-1.5,1.0,,,
,mean,973.800(26),973.797,-4,,,,,,,,,,
,min,973.774,973.776,2028852,0.5,0.5,1.5,-2.5,2.0,-1.0,1.0,,,
,delta,,,4,,,,,,,,10985,0.03641,∆ abs(i)
,max,973.825,973.824,2045457,0.5,0.5,2.0,1.0,-0.5,2.0,1.0,,,
,mean,973.800(26),973.806,-1426,,,,,,,,,,
,min,973.774,973.787,2046884,0.5,0.5,2.0,2.0,-2.5,2.0,-0.5,,,
,delta,,,1426,,,,,,,,10985,12.98134,∆ abs(i)
,max,973.825,973.825,2108689,0.5,1.0,-1.5,-0.5,-1.5,1.0,-0.5,,,
,mean,973.800(26),973.8,-483,,,,,,,,,,
,min,973.774,973.775,2109173,0.5,1.0,-1.5,-0.5,2.5,-2.5,-1.0,,,
,delta,,,483,,,,,,,,10985,4.3969,∆ abs(i)
,max,973.825,973.823,2124170,0.5,1.0,-1.0,2.0,0.5,2.0,0.0,,,
,mean,973.800(26),973.8,-763,,,,,,,,,,
,min,973.774,973.777,2124934,0.5,1.0,-1.0,2.5,0.0,0.5,-0.5,,,
,delta,,,763,,,,,,,,65910,1.15764,∆ abs(i)
,max,973.825,973.822,3006121,1.0,-2.5,0.5,-2.5,-1.0,-1.5,0.5,,,
,mean,973.800(26),973.8,145,,,,,,,,,,
,min,973.774,973.777,3005977,1.0,-2.5,0.5,-2.5,-2.0,-3.0,1.0,,,
,delta,,,145,,,,,,,,10985,1.31998,∆ abs(i)
,max,973.825,973.818,3022890,1.0,-2.5,1.0,1.0,-2.0,-1.5,0.0,,,
,mean,973.800(26),973.796,1125,,,,,,,,,,
,min,973.774,973.775,3021766,1.0,-2.5,1.0,0.0,2.0,3.0,0.5,,,
,delta,,,1125,,,,,,,,10985,10.24124,∆ abs(i)
,max,973.825,973.825,3084825,1.0,-2.0,-2.5,-1.5,0.0,-2.5,0.0,,,
,mean,973.800(26),973.8,496,,,,,,,,,,
,min,973.774,973.775,3084330,1.0,-2.0,-2.5,-2.0,2.5,0.0,0.0,,,
,delta,,,496,,,,,,,,10985,4.51525,∆ abs(i)
,max,973.825,973.821,3102443,1.0,-2.0,-2.0,2.5,-1.0,-2.0,-1.0,,,
,mean,973.800(26),973.798,1594,,,,,,,,,,
,min,973.774,973.775,3100850,1.0,-2.0,-2.0,1.5,-0.5,1.0,0.0,,,
